KREIS	Gemeinde	Anlage	Inbetriebnahme	Leistung	Nabenhöhe	Rotordurchmesser	Ostwert	Nordwert	Status
Nordfriesland	Bordelum	0011 - WKA D1 Enercon E-82/E2- SN 825515	2013	3000 kW Nennleist. Rotor.	108	82	32499687	6054941	in Betrieb
Nordfriesland	Bordelum	0209 - WKA Typ Enercon E-70 2,3 MW - SN 781962	2008	2300 kW Nennleist. Rotor.	64	71	32492603	6055041	in Betrieb
Nordfriesland	Bordelum	0208 - WKA Typ Enercon E-70 2,3 MW - SN 781961	2008	2300 kW Nennleist. Rotor.	64	71	32492414	6055252	in Betrieb
Nordfriesland	Bordelum	0207 - WKA Typ Enercon E-70 2,3 MW - SN 781960	2008	2300 kW Nennleist. Rotor.	64	71	32492184	6055508	in Betrieb
Nordfriesland	Bordelum	0206 - WKA Typ Enercon E-70 2,3 MW - SN 781959	2008	2300 kW Nennleist. Rotor.	64	71	32492010	6055705	in Betrieb
Nordfriesland	Bordelum	0205 - WKA Typ Enercon E-70 2,3 MW - SN 781958	2008	2300 kW Nennleist. Rotor.	64	71	32492323	6055835	in Betrieb
Nordfriesland	Bordelum	0204 - WKA Typ Enercon E-70 2,3 MW - SN 781957	2008	2300 kW Nennleist. Rotor.	64	71	32492125	6056190	in Betrieb
Nordfriesland	Bordelum	0210 - WKA Typ Enercon E-70 2,3 MW - SN 781963	2008	2300 kW Nennleist. Rotor.	64	71	32491834	6055903	in Betrieb
Nordfriesland	Bordelum	0001 - WKA Typ Enercon E-70/E4 - SN 783180	2010	2300 kW Nennleist. Rotor.	64	71	32493116	6055452	in Betrieb
Nordfriesland	Bordelum	0002 - WKA Typ Enercon E-70/E4 - SN 783181	2010	2300 kW Nennleist. Rotor.	64	71	32492960	6055161	in Betrieb
Nordfriesland	Bordelum	0003 - WKA Typ Enercon E-70/E4 - SN 783182	2010	2300 kW Nennleist. Rotor.	64	70	32492806	6054813	in Betrieb
Nordfriesland	Bordelum	0001 - WKA Enercon E-82/140 D4 - SN 825509	2013	2300 kW Nennleist. Rotor.	98	82	32500339	6055448	in Betrieb
Nordfriesland	Bordelum	0002 - WKA Enercon E-82/120 D5 - SN 825507 	2013	2300 kW Nennleist. Rotor.	78	82	32500499	6055284	in Betrieb
Nordfriesland	Bordelum	0001 - WKA 1 Vestas V 112 Nr. V201488	2013	3000 kW Nennleist. Rotor.	94	112	32491163	6057111	in Betrieb
Nordfriesland	Bordelum	0006 - WKA 6 Vestas V112 Nr. V201493	2013	3000 kW Nennleist. Rotor.	94	112	32492535	6057467	in Betrieb
Nordfriesland	Bordelum	0005 - WKA 5 Vestas V112 Nr. V201492	2013	3000 kW Nennleist. Rotor.	94	112	32491944	6056707	in Betrieb
Nordfriesland	Bordelum	0004 - WKA 4 Vestas V112 Nr. V201491	2013	3000 kW Nennleist. Rotor.	94	112	32492103	6057116	in Betrieb
Nordfriesland	Bordelum	0003 - WKA 3 Vestas V112 Nr V201490	2013	3000 kW Nennleist. Rotor.	94	112	32491663	6057315	in Betrieb
Nordfriesland	Bordelum	0011 - WKA 11 Vestas V112 Nr. V201498	2013	3000 kW Nennleist. Rotor.	94	112	32491672	6056966	in Betrieb
Nordfriesland	Bordelum	0010 - WKA 10 Vestas V112 Nr. V201497	2013	3000 kW Nennleist. Rotor.	94	112	32492648	6056440	in Betrieb
Nordfriesland	Bordelum	0012 - WKA 14 Vestas V112 Nr. V218068	2017	3300 kW Nennleist. Rotor.	93	112	32491625	6056582	in Betrieb
Nordfriesland	Bordelum	0002 - WKA 2 Vestas V112 Nr. V201489	2013	3000 kW Nennleist. Rotor.	94	112	32491258	6056789	in Betrieb
Nordfriesland	Bordelum	0007 - WKA 7 Vestas V112 Nr. V201494	2013	3000 kW Nennleist. Rotor.	94	112	32492530	6057107	in Betrieb
