"KREIS";"GEMEINDE";"TYP";"HERSTELLER";"NABENHOEHE";"ROTORDURCHMESSER";"SCHALLLEISTUNGSPEGEL";"LEISTUNG";"LEISTUNGSBEZUG";"OSTWERT";"NORDWERT";"GENEHMIGT_AM";"INBETRIEBNAHME";"STATUS";"BST_NR";"ANL_NR";"DATENDATUM";"DATENQUELLE"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A)tags; 102,5 dB(A) nachts";2000;"kW Nennleist. Rotor.";32505586;5972389;20.12.2007;26.11.2010;"in Betrieb";"51011003794";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 102,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32505377;5972479;20.12.2007;26.11.2010;"in Betrieb";"51011003795";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 102,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32505159;5972564;20.12.2007;26.11.2010;"in Betrieb";"51011003796";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 102,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32504945;5972647;20.12.2007;26.11.2010;"in Betrieb";"51011003797";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104 dB(A) tags; 99,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32504517;5972823;20.12.2007;26.11.2010;"in Betrieb";"51011003798";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags;  99,5 dB(A) nachts";2000;"kW Nennleist. Rotor.";32505214;5972788;20.12.2007;26.11.2010;"in Betrieb";"51011003798";"0002";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 99,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32505679;5972602;20.12.2007;26.11.2010;"in Betrieb";"51011003799";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 99,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32505470;5972690;20.12.2007;26.11.2010;"in Betrieb";"51011003800";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 99,5 dB(A) nachts";2000;"kW Nennleist. Rotor.";32504997;5972877;20.12.2007;26.11.2010;"in Betrieb";"51011003801";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Typ nicht bekannt";"Hersteller nicht bekannt";"78";"82";"105,0 dB(A) 96,1 dB(A)";2300;"kW Nennleist. Rotor.";32504835;5973788;07.04.2014;29.07.2014;"in Betrieb";"51011003802";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 1 Enercon E-115";"Enercon";"92";"115,7";"107,0 dB(A) / 96,0 dB(A)";3000;"kW Nennleist. Rotor.";32508615;5976247;28.12.2016;18.08.2017;"in Betrieb";"51011003803";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 2 Enercon E-101";"Enercon";"99";"101";"107,5 dB(A) / 97,0 dB(A)";3050;"kW Nennleist. Rotor.";32508950;5976325;28.12.2016;28.07.2017;"in Betrieb";"51011003803";"0002";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 3 Enercon E-101";"Enercon";"99";"101";"107,5 dB(A) / 102,0 dB(A)";3050;"kW Nennleist. Rotor.";32509206;5976057;28.12.2016;25.07.2017;"in Betrieb";"51011003803";"0003";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 4 Enercon E-115";"Enercon";"92";"115,7";"107,0 dB(A) / 101,8 dB(A)";3000;"kW Nennleist. Rotor.";32509371;5975633;28.12.2016;31.07.2017;"in Betrieb";"51011003803";"0004";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 5 Enercon E-115";"Enercon";"92";"115,7";"107,0 dB(A) / 105,4 dB(A)";3000;"kW Nennleist. Rotor.";32509655;5975442;28.12.2016;28.07.2017;"in Betrieb";"51011003803";"0005";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Senvion 3.2M 114";"Senvion";"93";"114";"104,2 dB(A) 101,4 dB(A)";3200;"kW Nennleist. Rotor.";32507680;5974918;06.04.2017;31.12.2020;"in Betrieb";"51011003805";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Nordex N100";"Nordex";"100";"99,8";"105,5 dB(A) / 101,5 dB(A)";3300;"kW Nennleist. Rotor.";32507473;5975551;13.04.2015;13.06.2016;"in Betrieb";"51011003807";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 3 Nordex N100";"Nordex";"100";"99,8";"105,5 dB(A) / 101,5 dB(A)";3300;"kW Nennleist. Rotor.";32507784;5975256;13.04.2015;29.06.2016;"in Betrieb";"51011003808";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 2 Nordex N100/3300";"Nordex";"100";"99,8";"105,5dB(A) / 104,4dB(A)";3300;"kW Nennleist. Rotor.";32508202;5975756;02.06.2015;28.06.2016;"in Betrieb";"51011003810";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 4 Nordex N100 3,3MW";"Nordex";"100";"99,8";"105,5 dB(A) / 103,5dB(A)";3300;"kW Nennleist. Rotor.";32508500;5975298;02.06.2015;30.06.2016;"in Betrieb";"51011003811";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 3 Nordex N100/3,3MW";"Nordex";"100";"99,8";"105,5db(A) / 101,0dB(A)";3300;"kW Nennleist. Rotor.";32508102;5975368;02.06.2015;30.06.2016;"in Betrieb";"51011003814";"0003";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 2 Nordex N100";"Nordex";"100";"99,8";"105,5 dB(A) / 101,5  dB(A)";3300;"kW Nennleist. Rotor.";32507463;5975236;13.04.2015;22.06.2016;"in Betrieb";"51011003827";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Repower MD 70/1,5MW";"REpower";"65";"70";"104";1500;"kW Nennleist. Rotor.";32512174;5971396;07.10.2003;18.05.2004;"in Betrieb";"51011515468";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
